,Volume
10000,0.5485
11000,0.543909090909
12000,0.549166666667
13000,0.549692307692
14000,0.551214285714
15000,0.556533333333
16000,0.5521875
17000,0.548764705882
18000,0.548611111111
19000,0.552263157895
20000,0.5574
21000,0.551904761905
22000,0.559590909091
23000,0.548782608696
24000,0.55125
25000,0.55408
26000,0.543538461538
27000,0.556925925926
28000,0.551964285714
29000,0.556793103448
30000,0.556633333333
31000,0.552838709677
32000,0.55621875
33000,0.552606060606
34000,0.546088235294
35000,0.553228571429
36000,0.550805555556
37000,0.555594594595
38000,0.548394736842
39000,0.551025641026
40000,0.55475
41000,0.549829268293
42000,0.550619047619
43000,0.553651162791
44000,0.554863636364
45000,0.555444444444
46000,0.548956521739
47000,0.549531914894
48000,0.554708333333
49000,0.553591836735
50000,0.5521
51000,0.554352941176
52000,0.557346153846
53000,0.554226415094
54000,0.553481481481
55000,0.548018181818
56000,0.549839285714
57000,0.554035087719
58000,0.55074137931
59000,0.554440677966
60000,0.552383333333
61000,0.548524590164
62000,0.552322580645
63000,0.551793650794
64000,0.55090625
65000,0.553753846154
66000,0.551696969697
67000,0.550985074627
68000,0.554808823529
69000,0.552115942029
70000,0.553785714286
71000,0.553746478873
72000,0.5545
73000,0.554849315068
74000,0.548783783784
75000,0.55196
76000,0.554302631579
77000,0.551558441558
78000,0.553833333333
79000,0.552291139241
80000,0.556575
81000,0.551839506173
82000,0.552865853659
83000,0.551469879518
84000,0.552666666667
85000,0.550682352941
86000,0.55261627907
87000,0.55116091954
88000,0.552625
89000,0.549719101124
90000,0.5496
91000,0.553395604396
92000,0.551173913043
93000,0.554139784946
94000,0.55129787234
95000,0.550726315789
96000,0.548677083333
97000,0.552154639175
98000,0.553153061224
99000,0.552545454545
