SolutionIndex, FireHazard, MinOwlHabitat, MaxSediment
1,23220.25713012026,2411.012708996591,63.42886003258007
3,23220.844696403106,2413.1845472467608,63.345855984763006
4,23220.844696403106,2415.5314778179613,63.345855985762995
5,23221.652885771942,2416.5314778179613,63.345855985762995
6,23221.652885771942,2417.698335879606,63.345855985762995
8,23222.75127057063,2420.655495342431,63.42886003258007
9,23223.766827856958,2421.65549534243,63.42886003258007
10,23222.38800256234,2422.65549534243,63.42886003258007
12,23225.02493184276,2433.2364729739857,63.235804456574975
13,23225.296392979082,2439.6573883189567,63.20072120641685
14,23225.552852363915,2441.442709531612,63.196248393733924
15,23225.731000345684,2442.4652734787965,63.196248393733924
16,23226.498503163843,2445.8190627474714,63.108771534233924
17,23226.68774829944,2446.8416266946565,63.246820316710654
18,23226.873749305963,2448.464087252252,63.196248393733924
19,23227.50211536445,2450.020713064999,63.196248393733924
21,23227.286581159027,2413.1845472467608,59.11752772771785
23,23227.93260537753,2414.339029461751,59.1130549150349
24,23227.74634421801,2415.339029461751,59.1130549150349
25,23228.222132037816,2417.284134586956,59.1130549150349
26,23228.215248860684,2416.356351639786,55.333599668184064
27,23228.242829850296,2418.284134585956,59.1130549150349
30,23228.40193316638,2422.809977557421,59.07797166487678
31,23228.87374289129,2419.117741726988,55.333599668184064
32,23228.6918631674,2420.1177417259883,55.333599668184064
33,23228.3373708522,2424.4324381150163,59.1130549150349
34,23229.0771984464,2421.428382571411,55.333599668184064
35,23228.3744320038,2451.108264967421,63.23133164389206
36,23228.478146252084,2452.110117315066,63.196248393733924
37,23229.04027966004,2422.428382570411,55.333599668184064
38,23228.6967897624,2426.4497602930523,59.1130549150349
39,23229.306042692773,2423.809977556421,55.333599668184064
40,23229.41394000806,2428.3723014710704,59.1130549150349
41,23229.41698361053,2453.197669217489,63.196248393733924
42,23229.550613229127,2424.912006677609,55.333599668184064
43,23229.717251296403,2426.0838449277785,55.333599668184064
44,23230.219607852207,2454.219328933587,63.196248393733924
45,23231.320750003422,2431.0093602039665,59.0824444775597
47,23231.3813025748,2432.2364729739866,59.0824444775597
48,23231.486243654752,2433.4083112241565,59.0824444775597
49,23231.564925191138,2435.1936324368107,59.07797166487678
50,23230.622038100384,2428.349737523885,55.333599668184064
51,23232.008776692597,2437.3481146518016,59.07797166487678
52,23232.6531628268,2430.875799377864,55.33807248086698
53,23232.312999896792,2438.970575209397,59.07797166487678
54,23232.473400785748,2440.286231184534,59.0824444775597
55,23231.14973283612,2455.443339355364,63.246820316710654
56,23231.5272803753,2456.643355724643,63.24682031671236
57,23232.741159175865,2431.875799376864,55.38864440384373
58,23232.829151197177,2442.4959879193743,59.13301640053644
59,23232.92193113396,2433.030281592853,55.33807248086698
60,23233.097302140228,2434.202119843025,55.33807248086698
61,23232.593386598233,2457.730907627064,63.246820316710654
62,23233.263692213717,2435.9874410556795,55.38417159116079
63,23232.93125768838,2443.664580532481,59.07797166487678
64,23233.162268354692,2445.4531473821985,59.07797166487678
65,23233.39622106915,2458.7525673431624,63.1962483937339
66,23233.97019741436,2439.5352104167137,55.38864440384373
67,23234.03933338651,2440.707048666884,55.38864440384373
68,23234.390510255653,2443.038983303967,55.38864440384373
69,23234.726617825956,2444.824304516621,55.38417159116079
70,23234.122640781254,2446.8416266946565,58.70099467803491
71,23234.27653790628,2448.464087252252,58.70099467803491
72,23234.7431612476,2450.3866284302717,59.07797166487678
