SolutionIndex,NPV ($),CO2 (t)
1,-4546147.28,528698.34
2,-4166366.88,505847.01
3,-4167473.47999999,506850.95
4,-4168688.71,507862.36
5,-4169574.3,508964.29
6,-4173583.74,509968.7
7,-4177194.97,510971.51
8,-4181225.32999999,511994.01
9,-4185317.07999999,512999.65
10,-4198396.45,514000.48
11,-4206373.36,515015.5
12,-4212106.67,516018.62
13,-4223478.17,517019.37
14,-4244218.38,518026.58
15,-4264940.18,519027.72
16,-4278177.96,520028.94
17,-4292395.69,521034.43
18,-4316165.3,522038.120000001
19,-4333524.91,523042.88
20,-4360450.65,524072.33
21,-4384188.29,525083.67
22,-4411358.32,526099.55
23,-4443382.77,527099.63
24,-4460986.59,528104.21
